2022-04-17 08:09:55 [schedule-pool-3] INFO  c.r.s.s.i.SysLogininforServiceImpl - <0><1515256005259952128> [127.0.0.1]内网IP[admin][Error][验证码错误]
2022-04-17 08:10:00 [XNIO-1 task-1] INFO  c.r.f.listener.UserActionListener - <0><1515482675032096768> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiSWpIYnl0aGxicGptS2w0OVpRS2EzUkc1YlFsTVREcWIifQ.MlRSbRVG1RUn5m6BmipZc0mMN1jGX8HMW0V0QNmWP3g
2022-04-17 08:10:00 [schedule-pool-6] INFO  c.r.s.s.i.SysLogininforServiceImpl - <0><1515482675032096768> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  c.r.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 08:15:12 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 08:15:16 [main] INFO  com.fzshuai.OloasApplication - Starting fzshuaiApplication using Java 1.8.0_311 on FZSHUAI with PID 28360 (F:\Idea Project\oloas-back\fzshuai-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 08:15:16 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 08:15:16 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 08:15:18 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 08:15:19 [redisson-netty-2-2] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 08:15:19 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 08:15:19 [main] INFO  c.fzshuai.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 08:15:19 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 08:15:19 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 08:15:20 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 08:15:20 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 08:15:20 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 08:15:20 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
